"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"#FFFFFE","Q105883127","FFFFFE","General",TRUE
"Absolute Zero","Q125706334","0048BA","General",TRUE
"Air Force blue","Q1770362","5D8AA8","General",TRUE
"Amarillo selectivo","Q2293227","FFBA00","General",TRUE
"American beauty","Q131398740","A73340","General",TRUE
"Ayanami Blue","Q91417704","6DABE4","General",TRUE
"Azul YInMn","Q25112525","2E5090","General",TRUE
"Azul claro","Q4405716","99FF99","General",TRUE
"Baker-Miller Pink","Q4849102","FF91AF","General",TRUE
"Barbecho (color)","Q3738728","C19A6B","General",TRUE
"Berliner Blau","Q97528669","003153","General",TRUE
"Blue (CMYK) (pigment blue)","Q57305216","333399","General",TRUE
"Blue (Munsell)","Q57305337","0093AF","General",TRUE
"Blue (NCS)","Q57305302","0087BD","General",TRUE
"Blurple","Q111889906","5865F2","General",TRUE
"Bright Mango","Q112056389","FF8830","General",TRUE
"Buff","Q4985885","F0DC82","Pigmentary",TRUE
"Cambridge Blue","Q5025363","A3C1AD","General",TRUE
"Chifón de limón","Q3832523","FFFACD","General",TRUE
"Cinnamon","Q1148100","D2691E","Pigmentary",TRUE
"Cloudflare Orange 1","Q111960788","F6821F","General",TRUE
"Coyote brown","Q18349136","81613C","Pigmentary",TRUE
"Crudo (color)","Q1970335","CDB891","General",TRUE
"Dawn Red","Q11090565","E60039","General",TRUE
"Dodger blue","Q856862","1E90FF","General",TRUE
"Duke royal blue","Q89507824","00539B","General",TRUE
"Edo purple","Q97379214","745399","General",TRUE
"Eigengrau","Q492305","16161D","General",TRUE
"Emerald Green","Q691510","50C878","Iridescent",TRUE
"English red","Q26187774","AB4E52","General",TRUE
"Ericameria flower yellow","Q124302392","F9C647","General",TRUE
"Ericameria stem teal","Q124302510","BFD8D2","General",TRUE
"Erin","Q60785280","00FF40","General",TRUE
"FT pink","Q101786150","EBC7B2","General",TRUE
"Fiery Orange","Q1378330","FF9408","Glittering",TRUE
"Glittering Copper","Q5168705","AD6F69","Glittering",TRUE
"Golden Green","Q5579480","FFDF00","Iridescent",TRUE
"Gray21","Q12901657","363636","General",TRUE
"Gray22","Q106622682","383838","General",TRUE
"Green Legnano","Q4009896","B5D01F","General",TRUE
"Green No. 15","Q11607726","2E8B57","General",TRUE
"Grey-Asparagus","Q3776736","465945","Pigmentary",TRUE
"Hanada","Q30950539","267CA7","General",TRUE
"Hiwa-iro","Q11676208","CBC547","General",TRUE
"India green","Q24574924","138808","General",TRUE
"Iridescent Purple","Q211140","6A0DAD","Iridescent",TRUE
"Islamic green","Q111080140","009900","General",TRUE
"Israel blue","Q61927422","0038B8","General",TRUE
"Kintetsu maroon","Q18991864","9D0023","General",TRUE
"Kyō purple","Q11374716","772F6D","General",TRUE
"Light Carmine Pink","Q136457814","E66771","General",TRUE
"Madder","Q11617258","B13546","General",TRUE
"Mandarin orange","Q3844391","FFCC00","General",TRUE
"Marengo","Q4281308","4C5866","General",TRUE
"Marrs green","Q39046969","008C8C","General",TRUE
"Matsuzaki-Shigeru color","Q11278400","A54A5A","General",TRUE
"Mikado yellow","Q6845574","FFC40C","General",TRUE
"Morello","Q25343693","200042","General",TRUE
"NCS blue","Q69915238","0087BD","General",TRUE
"NCS green","Q69914710","009F6B","General",TRUE
"NCS red","Q69914380","C40233","General",TRUE
"NCS yellow","Q69914970","FFD300","General",TRUE
"Nymphenschenkelfarbe","Q3007035","FEE7F0","General",TRUE
"Orientrot","Q98148703","A7323E","General",TRUE
"Papaya whip","Q3894699","FFEFD5","General",TRUE
"Parma","Q3365600","CFA0E9","General",TRUE
"Persian Indigo","Q11144247","32127A","General",TRUE
"Persian green","Q5922149","00A693","General",TRUE
"Persimmon","Q8217074","EC5800","General",TRUE
"Pink","Q24239857","FFC0DB","General",TRUE
"Pizarra","Q1411452","708090","General",TRUE
"Princeton orange","Q103888297","E87722","General",TRUE
"Rebecca purple","Q84237818","663399","General",TRUE
"Reseda green","Q25349006","587246","General",TRUE
"Rojo pompeyano","Q3941700","A22E37","General",TRUE
"Rosa naranja","Q5402922","FF9966","General",TRUE
"Rosicler","Q11515057","F19072","General",TRUE
"Ruby Red","Q1120984","E0115F","Iridescent",TRUE
"Rufous","Q7377981","A81C07","Pigmentary",TRUE
"Sapphire Blue","Q108183","0F52BA","Iridescent",TRUE
"Savoy blue","Q3641120","4B61D1","General",TRUE
"Seymour Purple","Q134313514","4E2983","General",TRUE
"Shinbashi colour","Q11502631","59B9C6","General",TRUE
"Shocking pink","Q75737","FF69B4","General",TRUE
"Skagen yellow","Q71460159","E5B165","General",TRUE
"Sooty","Q7562417","121212","Pigmentary",TRUE
"Stanford Cardinal Red","Q126888533","8C1515","General",TRUE
"Telltale red","Q124216405","962F25","General",TRUE
"Tyrian purple","Q112732593","990024","General",TRUE
"Tǔ huángsè","Q10927920","E89B00","General",TRUE
"UN blue","Q2145530","009EDB","General",TRUE
"Vegas gold","Q97106579","C5B358","General",TRUE
"Verde bosque","Q17105502","228B22","General",TRUE
"Verde primavera","Q373787","00FF7F","General",TRUE
"Violet","Q8063","8F00FF","Iridescent",TRUE
"Yellow Green No. 6","Q11677801","7BAB4F","General",TRUE
"Zima blue","Q65034853","5BC2E7","General",TRUE
"aguamarina","Q372973","7FFFD4","General",TRUE
"albaricoque","Q1324818","FFE5B4","General",TRUE
"alice blue","Q372669","F0F8FF","General",TRUE
"amaranto","Q454847","E52B50","General",TRUE
"amarillento","Q115413960","FFFFE0","General",TRUE
"amarillo","Q27777837","FFFF00","General",TRUE
"amarillo","Q943","FFFF00","General",TRUE
"amarillo Nápoles","Q899295","F7E89F","General",TRUE
"amarillo brillante","Q116787059","FFFF00","General",TRUE
"amarillo cadmio","Q3762375","FFF600","General",TRUE
"amarillo indio","Q55611196","E3A857","General",TRUE
"amarillo pálido","Q119953849","FFFFA7","General",TRUE
"amarillo-verde","Q21864306","9ACD32","General",TRUE
"amatista","Q2631989","9966CC","General",TRUE
"amphora","Q106510555","D88256","General",TRUE
"ancient purple","Q97377848","8C6589","General",TRUE
"ante","Q2085487","F0DC82","General",TRUE
"anthracite","Q2853007","2B292E","General",TRUE
"antique pink","Q19361243","D47479","General",TRUE
"antique ruby","Q123852956","841B2D","Iridescent",TRUE
"aqua","Q372733","00FFFF","General",TRUE
"arena","Q9303163","EDC9AF","General",TRUE
"army green","Q2553431","4B5320","General",TRUE
"ash grey","Q3776737","E4E5E0","Pigmentary",TRUE
"asparagus","Q2866788","7BA05B","General",TRUE
"avellana","Q17122740","5A391C","General",TRUE
"avocado","Q131618362","568203","General",TRUE
"azafrán","Q2725283","F4C430","General",TRUE
"azalea","Q25336659","D3305D","General",TRUE
"azul","Q17122834","608090","General",TRUE
"azul","Q1088","0000FF","General",TRUE
"azul Bondi","Q10862213","0095B6","General",TRUE
"azul Eton","Q5404819","96C8A2","General",TRUE
"azul Francia","Q953243","002366","General",TRUE
"azul Tiffany","Q950159","81D8D0","General",TRUE
"azul acero","Q1003676","4682B4","General",TRUE
"azul aciano","Q2021643","6495ED","General",TRUE
"azul carreta","Q2906465","8EA2C6","General",TRUE
"azul claro","Q61600018","6888A0","General",TRUE
"azul cobalto","Q425278","0047AB","General",TRUE
"azul de Duke","Q5312932","012169","General",TRUE
"azul egipcio","Q253181","1034A6","General",TRUE
"azul eléctrico","Q373586","7DF9FF","General",TRUE
"azul eléctrico iridiscente","Q23931911","3137FD","General",TRUE
"azul eléctrico profundo","Q23931909","2C75FF","General",TRUE
"azul gris","Q4928721","6699CC","General",TRUE
"azul grisáceo","Q42845936","708090","General",TRUE
"azul marino","Q5975887","000080","General",TRUE
"azul maya","Q901499","73C2FB","General",TRUE
"azul noche","Q947638","0F056B","General",TRUE
"azul oscuro","Q3641131","00008B","General",TRUE
"azul pavo real","Q3641130","004958","General",TRUE
"azul persa","Q2545722","1C39BB","General",TRUE
"azul petróleo","Q2906519","006374","General",TRUE
"azul turquesa","Q84430532","00FFEF","General",TRUE
"azul verde","Q646964","009C8C","General",TRUE
"azul verdoso","Q3375649","608070","General",TRUE
"azul violeta","Q16039699","324AB2","General",TRUE
"azul-violeta","Q14946424","8A2BE2","General",TRUE
"azure","Q373058","007FFF","General",TRUE
"añil","Q5967009","4B0082","General",TRUE
"baby blue","Q2294901","89CFF0","General",TRUE
"baby powder","Q110102807","FEFEFA","General",TRUE
"basalt black","Q124302386","3E3E3E","Pigmentary",TRUE
"battleship grey","Q109442450","848482","Pigmentary",TRUE
"beige","Q843607","F5F5DC","General",TRUE
"beige green","Q25402007","BEBD7F","General",TRUE
"berenjena","Q1403218","614051","General",TRUE
"bermejo","Q4100014","80461B","General",TRUE
"bermejo","Q2419551","A52A2A","General",TRUE
"bermellón","Q737438","E34234","General",TRUE
"big dip o'ruby","Q123852873","9C2542","Iridescent",TRUE
"bisque","Q2904722","FFE4C4","General",TRUE
"bister","Q76011056","3D2B1F","General",TRUE
"black russian","Q112732637","025DD2","Pigmentary",TRUE
"blackish","Q115413850","2C2C2A","Pigmentary",TRUE
"blackish-purple","Q124328099","291E29","Pigmentary",TRUE
"blanched almond","Q90278470","FFEBCD","General",TRUE
"blanco","Q23444","FFFFFF","General",TRUE
"blanco","Q62391724","FFFFFF","General",TRUE
"blanco antiguo","Q3639443","FAEBD7","General",TRUE
"blanco de titanio","Q3639460","FFFEEF","General",TRUE
"blanco humo","Q22963968","F5F5F5","General",TRUE
"blanco litopón","Q18657742","FFFFFF","General",TRUE
"blanco navajo","Q1406286","FFDEAD","General",TRUE
"blond","Q115918071","FAF0BE","General",TRUE
"blue no. 24","Q11660963","00B2E5","General",TRUE
"blue-magenta","Q121715819","4B0082","General",TRUE
"bone white","Q114420553","F9F6EE","Pigmentary",TRUE
"borgoña","Q797446","800020","General",TRUE
"bottle green","Q3556203","006A4E","General",TRUE
"brass","Q109441995","B5A642","General",TRUE
"brick red","Q98111784","CB4154","General",TRUE
"bright cream","Q2905897","FEFEE2","General",TRUE
"bright orange","Q93493270","E76318","General",TRUE
"bright pastel pink","Q132858662","F6B2D7","General",TRUE
"bright ube","Q115653670","D19FE8","General",TRUE
"bright yellow","Q136525184","FFE900","General",TRUE
"brighter dark red","Q60679352","990000","General",TRUE
"bronce","Q2778382","CD7F32","General",TRUE
"bronceado","Q1670336","D2B48C","General",TRUE
"brown special","Q24239813","532F15","Pigmentary",TRUE
"brownish","Q124309091","9C6D57","Pigmentary",TRUE
"burdeos","Q10859033","800032","General",TRUE
"burlywood","Q90793919","DEB887","General",TRUE
"burnt orange","Q3621276","CC5500","General",TRUE
"cadet blue","Q90799158","5F9EA0","General",TRUE
"cadmium orange","Q3621275","E36122","General",TRUE
"café","Q2932937","6F4E37","General",TRUE
"café cortado cósmico","Q2510690","FFF8E7","General",TRUE
"calabaza","Q2564184","FF7518","General",TRUE
"camello","Q17082553","C19A6B","General",TRUE
"camouflage green","Q4009899","78866B","General",TRUE
"canary","Q110103247","FFFF99","General",TRUE
"canela","Q2936397","D27D2D","General",TRUE
"caoba","Q958012","C04000","General",TRUE
"capsicum red","Q133234124","E40F0C","General",TRUE
"caqui","Q650770","C3B091","General",TRUE
"caramel","Q2937858","7E3300","General",TRUE
"cardenal","Q1426821","C41E3A","General",TRUE
"carmesí","Q303826","DC143C","General",TRUE
"carmine pink","Q64211725","FB503B","General",TRUE
"carmín","Q10296772","960018","General",TRUE
"carmín de alizarina","Q4727574","E32636","General",TRUE
"carnelian","Q5043987","B31B1B","General",TRUE
"carrot red","Q3660634","ED9133","General",TRUE
"castaño","Q2040833","954535","General",TRUE
"castaño claro","Q71404162","B5651D","General",TRUE
"celadon","Q2541418","ACE1AF","General",TRUE
"celadon green","Q3556204","83A697","General",TRUE
"celeste","Q373160","B2FFFF","General",TRUE
"cereza","Q2334511","DE3163","General",TRUE
"cerúleo","Q313120","007BA7","General",TRUE
"chalk white","Q115924565","E6E9E9","Pigmentary",TRUE
"champagne","Q5069879","FAF2C5","General",TRUE
"charcoal","Q109435152","36454F","General",TRUE
"charcoal grey","Q96803467","3C4142","Pigmentary",TRUE
"chartreuse","Q1153119","B2D63F","General",TRUE
"chartreuse green","Q97342321","D9E367","General",TRUE
"cherry blossom pink","Q11538188","FEEEED","General",TRUE
"chili pepper","Q106065949","9B1B30","General",TRUE
"china blue","Q110103231","53677A","General",TRUE
"chocolate","Q3309916","7B3F00","General",TRUE
"cian","Q180778","00FFFF","General",TRUE
"cigar brown","Q90809398","6D4F4B","Pigmentary",TRUE
"cinereous","Q5120881","98817B","General",TRUE
"cinnabar green","Q4009897","58791E","General",TRUE
"citrine","Q5122822","E4D00A","General",TRUE
"citron","Q2974481","DDD06A","General",TRUE
"clam pink","Q18658462","FDFFF4","General",TRUE
"cloud white","Q137071644","F2F2ED","Pigmentary",TRUE
"cobalt violet","Q4013847","74489C","General",TRUE
"cobre","Q2722041","B87333","General",TRUE
"color of safflower","Q11538718","FFD768","General",TRUE
"concha","Q7441815","FFF5EE","General",TRUE
"cool black","Q111812647","002E63","Pigmentary",TRUE
"coral","Q2411228","FF7F50","General",TRUE
"cordobán","Q5170059","893F45","General",TRUE
"cork","Q106061107","40291D","General",TRUE
"cornsilk","Q90809250","FFF8DC","General",TRUE
"coyote","Q106006497","DDB77B","General",TRUE
"crema","Q2730433","FFFDD0","General",TRUE
"cyan","Q87067369","00FFFF","General",TRUE
"cyclamen","Q20529018","F56FA1","General",TRUE
"daffodil","Q110102703","FFFF31","General",TRUE
"dark  orange","Q90799164","FF8C00","General",TRUE
"dark Teal Tune","Q112083819","115077","General",TRUE
"dark blue","Q11606233","233B6C","General",TRUE
"dark charcoal","Q130530219","333333","General",TRUE
"dark cyan","Q90809255","008B8B","General",TRUE
"dark goldenrod","Q90809261","B8860B","Iridescent",TRUE
"dark indigo","Q113448965","310062","General",TRUE
"dark jungle green","Q111851367","1A2421","General",TRUE
"dark khaki","Q90809266","BDB76B","General",TRUE
"dark magenta","Q90809273","8B008B","General",TRUE
"dark olive green","Q90809281","556B2F","General",TRUE
"dark orchid","Q90809286","9932CC","General",TRUE
"dark ruby","Q115944478","6C4541","Iridescent",TRUE
"dark sea green","Q90809303","8FBC8F","General",TRUE
"dark slate blue","Q90809308","483D8B","General",TRUE
"dark slate gray","Q90809316","2F4F4F","General",TRUE
"dark turquoise","Q84430751","00CED1","Iridescent",TRUE
"dark violet","Q90809330","9400D3","General",TRUE
"dark yellow","Q124153022","FFCC00","General",TRUE
"deep blue","Q112732567","0C1B32","General",TRUE
"deep pink","Q89328051","FF1493","General",TRUE
"deep purple","Q112732364","391F44","General",TRUE
"deep ruby","Q123852998","843F5B","Iridescent",TRUE
"deep sky blue","Q90809332","00BFFF","General",TRUE
"denim","Q3705434","1560BD","General",TRUE
"dim gray","Q90809337","696969","General",TRUE
"dirty white","Q35625860","DBDCDA","Pigmentary",TRUE
"dove grey","Q136459339","6D6C6C","Pigmentary",TRUE
"duck-egg blue","Q132643994","C3FBF4","General",TRUE
"dull blue","Q115941768","BDCFD2","General",TRUE
"dull red","Q115413993","BB3F3F","General",TRUE
"durazno","Q5148721","FFE5B4","General",TRUE
"dusky brown","Q71406823","846655","Pigmentary",TRUE
"ebony","Q109433936","555D50","General",TRUE
"eerie black","Q109433917","1B1B1B","Pigmentary",TRUE
"egg white","Q133289362","F1EDE2","Pigmentary",TRUE
"eggplant","Q56324355","990066","General",TRUE
"eggshell","Q5347944","F0EAD6","General",TRUE
"el verde saudí","Q131392587","005430","General",TRUE
"enji","Q11261134","AE3846","General",TRUE
"escarlata","Q2268159","FF2400","General",TRUE
"fantasy","Q136459479","FAF3F0","General",TRUE
"feijoa","Q128804553","A5D785","General",TRUE
"feldgrau","Q492192","4D5D53","General",TRUE
"fern green","Q13424722","4F7942","General",TRUE
"firebrick","Q90809354","B22222","General",TRUE
"flax blue","Q132496788","B5D5E4","General",TRUE
"floral white","Q25402474","FFFAF0","Pigmentary",TRUE
"foliage green","Q115653492","3E6F58","General",TRUE
"folly","Q112175360","FF004F","General",TRUE
"frambuesa","Q3080423","E30B5C","General",TRUE
"french beige","Q132859887","A67B5B","General",TRUE
"frosted blue","Q2906503","80D0D0","General",TRUE
"fucsia","Q5005364","FF00FF","General",TRUE
